hours_studied,attendance,parent_education,extra_activities,course_done,course_score,ct,st1,st2,put,final_grade
6.4,51.3,master,yes,yes,83.6,0.3,22.3,73.6,67.7,53.9
0.9,61.6,high_school,yes,no,0.0,5.9,71.6,70.1,42.0,50.4
8.1,50.3,graduate,no,no,0.0,1.0,34.0,15.5,95.7,46.2
3.8,67.9,master,no,no,0.0,0.8,80.7,73.0,53.6,52.9
2.9,81.4,master,yes,no,0.0,9.9,70.5,4.6,22.8,37.3
8.6,93.3,none,no,no,0.0,2.1,45.3,83.4,16.3,41.7
2.7,96.8,high_school,yes,no,0.0,9.9,53.4,24.5,46.2,45.5
6.4,77.8,master,yes,no,0.0,0.7,22.9,3.2,31.5,22.5
9.1,78.4,master,yes,no,0.0,1.4,65.5,39.6,91.5,58.3
1.4,87.2,master,no,yes,80.4,0.9,89.8,39.9,21.9,46.5
0.5,55.5,graduate,no,no,0.0,5.3,59.6,38.5,59.6,45.8
9.7,93.0,high_school,yes,no,0.0,1.1,68.2,53.7,26.7,43.0
4.3,72.7,master,yes,yes,66.1,7.6,50.8,10.6,62.5,51.0
5.4,88.9,high_school,no,no,0.0,2.4,48.9,11.2,36.3,32.5
2.4,78.4,high_school,yes,yes,65.1,4.8,73.2,81.6,97.8,76.7
5.5,63.3,none,yes,no,0.0,4.0,92.9,75.5,69.0,64.3
6.7,68.7,none,yes,yes,83.5,0.1,24.8,6.4,2.1,22.1
7.1,52.9,high_school,yes,no,0.0,2.1,86.0,7.1,23.8,34.1
1.3,96.8,none,yes,yes,86.4,3.5,78.5,80.7,19.0,55.2
4.1,93.2,high_school,yes,yes,69.9,1.9,6.1,72.8,80.1,55.4
4.5,71.1,master,no,yes,62.0,10.0,25.0,92.3,44.3,58.8
8.4,98.4,graduate,yes,yes,66.6,0.0,40.6,48.1,86.5,59.5
3.9,96.3,none,no,no,0.0,1.5,42.3,95.7,99.5,65.7
3.0,98.4,high_school,no,yes,62.3,5.1,5.7,58.4,50.3,45.7
8.5,53.4,high_school,yes,yes,84.8,4.2,40.4,94.2,57.0,63.6
5.8,76.1,master,yes,yes,86.9,3.0,67.0,31.4,26.6,46.1
3.2,87.6,high_school,yes,yes,81.5,5.1,45.8,99.8,99.6,78.2
1.3,67.5,high_school,yes,no,0.0,6.1,37.0,15.8,83.4,45.7
9.9,82.7,high_school,no,no,0.0,1.2,93.2,10.4,87.8,57.3
1.1,77.7,master,no,no,0.0,5.1,60.5,71.8,20.4,42.1
2.5,95.4,high_school,yes,no,0.0,7.7,63.4,82.9,4.4,44.3
6.4,63.1,none,no,yes,81.8,8.3,56.1,11.2,94.5,64.6
5.8,57.4,graduate,yes,yes,96.0,2.1,30.8,89.9,79.6,65.5
2.5,55.1,none,yes,yes,95.3,0.2,92.6,23.7,16.3,41.9
7.4,66.6,none,yes,yes,94.3,2.2,26.7,78.7,10.8,43.0
8.2,73.0,master,yes,no,0.0,8.6,22.3,66.0,39.8,46.0
9.7,64.0,none,no,yes,83.2,9.8,93.9,11.5,97.0,76.3
0.4,79.8,master,no,yes,70.2,7.1,43.6,98.4,11.6,50.2
0.0,96.3,graduate,no,no,0.0,6.6,43.1,94.9,92.1,66.6
1.2,95.0,master,no,yes,76.8,9.4,32.6,69.7,55.4,59.5
6.8,95.1,master,no,no,0.0,7.9,54.8,0.0,28.7,35.6
6.1,66.1,none,no,yes,86.4,2.8,67.6,51.1,79.4,65.4
6.6,81.0,high_school,yes,yes,61.8,9.8,67.3,22.5,19.9,47.3
6.1,88.4,none,no,no,0.0,4.9,88.6,57.6,71.8,63.1
2.4,82.8,high_school,yes,no,0.0,0.5,77.8,21.9,80.4,49.9
2.5,92.4,none,yes,no,0.0,9.5,80.1,66.8,98.8,74.4
8.9,80.6,none,no,no,0.0,7.5,89.7,74.4,47.5,63.1
8.4,63.9,none,yes,no,0.0,3.4,27.5,7.7,28.6,26.4
8.9,54.0,graduate,yes,no,0.0,4.1,38.3,15.3,21.4,28.4
5.4,70.8,graduate,no,yes,94.3,7.7,38.9,77.0,94.6,74.9
3.8,50.3,master,no,no,0.0,5.4,75.3,85.3,95.3,70.5
7.3,90.0,graduate,no,no,0.0,6.7,21.9,43.6,2.9,28.8
8.0,86.2,none,yes,yes,63.4,4.3,98.1,53.4,90.7,76.5
8.7,59.1,master,no,no,0.0,2.8,32.7,45.5,33.8,35.9
9.5,71.1,high_school,no,no,0.0,2.2,1.9,53.9,100.0,51.7
0.7,97.9,high_school,yes,yes,69.5,4.7,95.0,19.9,2.0,40.5
1.1,97.4,none,no,yes,91.1,1.6,76.7,16.8,60.7,53.0
3.1,78.9,master,no,yes,64.1,7.7,39.7,71.5,7.6,44.1
8.5,80.0,high_school,yes,no,0.0,0.1,34.7,42.8,37.1,35.0
4.2,74.5,none,no,no,0.0,1.8,63.6,82.9,70.7,58.1
5.2,82.5,none,no,yes,93.2,0.9,43.6,73.1,26.8,48.3
8.8,62.2,none,no,no,0.0,2.1,33.6,49.4,32.5,36.0
8.0,67.0,master,yes,no,0.0,4.9,51.7,19.1,24.1,33.6
7.6,84.5,none,no,yes,72.2,5.8,79.3,9.3,22.2,45.4
4.7,76.5,none,no,yes,64.8,1.9,35.2,45.4,30.7,39.9
1.2,76.8,graduate,yes,no,0.0,9.8,21.6,48.4,72.5,50.0
8.3,64.8,master,yes,yes,99.0,5.5,30.2,70.8,12.7,46.8
7.0,56.3,none,yes,no,0.0,3.4,87.3,57.4,46.9,52.7
9.7,62.6,none,yes,yes,66.1,8.1,82.2,40.1,7.4,49.4
9.5,54.3,graduate,yes,yes,91.0,3.8,55.8,41.6,59.6,57.7
9.1,64.9,none,no,yes,97.9,2.1,56.9,6.0,96.0,61.1
2.1,83.0,graduate,yes,no,0.0,6.9,17.4,7.5,0.3,17.2
4.7,51.6,master,no,no,0.0,7.9,70.3,45.4,68.7,56.6
6.3,83.1,graduate,no,no,0.0,8.3,11.5,22.5,14.9,26.9
0.7,58.3,master,no,no,0.0,9.4,43.9,46.9,30.4,39.9
5.0,74.7,high_school,yes,yes,63.7,9.6,88.9,73.5,60.4,72.8
8.4,78.8,high_school,no,no,0.0,9.2,57.6,76.3,17.5,49.4
1.8,79.3,none,yes,yes,94.3,3.3,47.0,40.8,32.1,44.8
6.9,64.4,none,yes,no,0.0,8.6,45.5,31.5,32.3,40.4
